date,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,temperature_sampling,temperature_incubation_avg,T0_TF,dilution,nutrient_treatment,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,dilution_factor,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,a,>0&<200,180,6,1,0.249,2.052,158,102,0.19,0.22,157.81,101.78,1.55050108076243,0.907110787072243,0.826365460927757,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,b,>0&<200,180,6,1,0.249,2.052,173,109,0.19,0.22,172.81,108.78,1.58861923147637,1.03662865779468,0.816068790205323,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,c,>0&<200,180,6,1,0.249,2.052,161,109,0.19,0.22,160.81,108.78,1.47830483544769,0.842351851711027,1.01034559628897,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,a,>10&<200,180,6,1,0.249,2.052,122,63.3,0.19,0.22,121.81,63.08,1.93103994927077,0.950823068441065,0.123530259558935,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,b,>10&<200,180,6,1,0.249,2.052,125,69.3,0.19,0.22,124.81,69.08,1.80674580196873,0.902253866920152,0.274289061079848,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,c,>10&<200,180,6,1,0.249,2.052,125,66.7,0.19,0.22,124.81,66.48,1.87740673886883,0.944347174904943,0.187913593095057,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,a,>0&<200,180,6,1,0.249,2.052,503,351,0.19,0.22,502.81,350.78,1.43340555333827,2.46132523574145,3.51301941225855,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,b,>0&<200,180,6,1,0.249,2.052,454,277,0.19,0.22,453.81,276.78,1.63960546282246,2.86606858174905,1.84793766625095,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,c,>0&<200,180,6,1,0.249,2.052,511,355,0.19,0.22,510.81,354.78,1.43979367495349,2.52608417110266,3.51638687689734,NaN
20220221,02/21/2022 07:00,02/21/2022 10:05,02/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,a,>10&<200,180,6,1,0.249,2.052,375,195,0.19,0.22,374.81,194.78,1.92427353937776,2.91463778326996,0.402777264730038,NaN
